,url,search input,google maps name,id,category,address,score,reviews,expense,extra info,maandag,dinsdag,woensdag,donderdag,vrijdag,zaterdag,zondag
16,"https://www.google.be/maps/place/Mini+Mix+50/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160e1c5ce6935:0xf3ac712f58c317d4!8m2!3d50.8776703!4d4.6855543",Leuven,Mini Mix 50,VMHP+36 Leuven,Supermarkt,"Tervuursestraat 118, 3000 Leuven","4,4",140,no expense available,no extra info available,Gesloten,10:00–19:00,10:00–19:00. Openingstijden gedurende de week verbergen,10:00–19:00,(Labour Day) 10:00–19:00 Openingstijden kunnen afwijken,10:00–19:00,10:00–18:00
17,"https://www.google.be/maps/place/Delhaize/@50.8724198,4.6906375,14z/data=!3m1!5s0x47c161245f6bb7fb:0xcffb0a50afbb163c!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c1612458c09d45:0xc29b0081a08e2570!8m2!3d50.8685488!4d4.6963534",Leuven,Delhaize,VM9W+CG Leuven,Supermarkt,"Tervuursevest 19, 3001 Leuven","4,2",1,no expense available,no extra info available,08:00–20:00,08:00–20:00,08:00–20:00. Openingstijden gedurende de week verbergen,08:00–20:00,(Labour Day) Gesloten Openingstijden kunnen afwijken,08:00–20:00,Gesloten
18,"https://www.google.be/maps/place/PRS+Winkel/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c1610fead57ce7:0x54dd451508c7c606!8m2!3d50.8693233!4d4.7074471",Leuven,PRS Winkel,VP94+PX Leuven,Supermarkt,"N3, 3000 Leuven","4,1",9,no expense available,no extra info available,10:00–20:00,10:00–20:00,10:00–20:00. Openingstijden gedurende de week verbergen,10:00–20:00,(Labour Day) 10:00–21:00 Openingstijden kunnen afwijken,10:00–20:00,10:00–20:00
19,"https://www.google.be/maps/place/ALDI/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d10897034d:0x83810518a7c18bd8!8m2!3d50.8834683!4d4.7073868",Leuven,ALDI,VPM4+9X Leuven,Supermarkt,"J.P. Minckelersstraat 76, 3000 Leuven","3,7",358,€,no extra info available,08:30–19:00,08:30–19:00,08:30–19:00. Openingstijden gedurende de week verbergen,08:30–19:00,(Labour Day) 08:30–19:00 Openingstijden kunnen afwijken,08:30–18:00,Gesloten
20,"https://www.google.be/maps/place/ALDI+Leuven/@50.8752052,4.6911382,14z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c161202db2354f:0x3e890260938501f3!8m2!3d50.8740728!4d4.6898814",Leuven,ALDI Leuven,VMFQ+JX Leuven,Supermarkt,"Slachthuislaan 3, 3000 Leuven","4,1",494,€,no extra info available,08:30–19:00,08:30–19:00,08:30–19:00. Openingstijden gedurende de week verbergen,08:30–19:00,(Labour Day) 08:30–19:00 Openingstijden kunnen afwijken,08:30–18:00,Gesloten
21,"https://www.google.be/maps/place/Carrefour+express/@50.8752052,4.6911382,14z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c1613b34aecbb9:0xa925df57a757b0ff!8m2!3d50.8659297!4d4.6958959",Leuven,Carrefour express,VM8W+99 Leuven,Kruidenier,"Naamsesteenweg 104, 3001 Leuven","2,9",60,no expense available,no extra info available,07:30–20:00,07:30–20:00,07:30–20:00. Openingstijden gedurende de week verbergen,07:30–20:00,(Labour Day) 07:30–20:00 Openingstijden kunnen afwijken,Gesloten,08:00–20:00
22,"https://www.google.be/maps/place/Carrefour+Market/@50.8752052,4.6911382,14z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c16123ed684d07:0x180de76be0253a3a!8m2!3d50.8705584!4d4.6916706",Leuven,Carrefour Market,VMCR+6M Leuven,Supermarkt,"Tervuursevest 113, 3001 Leuven","4,1",123,no expense available,no extra info available,08:00–20:00,08:00–20:00,08:00–20:00. Openingstijden gedurende de week verbergen,08:00–20:00,(Labour Day) 08:00–21:00 Openingstijden kunnen afwijken,08:00–20:00,Gesloten
23,"https://www.google.be/maps/place/Asian+Supermarket/@50.8752052,4.6911382,14z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160debe8f84d1:0xd4fab832a91f552!8m2!3d50.8805635!4d4.6952518",Leuven,Asian Supermarket,VMJW+64 Leuven,Supermarkt,"Brusselsestraat 114, 3000 Leuven","4,1",20,no expense available,no extra info available,09:00–20:00,Gesloten,09:00–20:00. Openingstijden gedurende de week verbergen,09:00–20:00,(Labour Day) 09:00–20:00 Openingstijden kunnen afwijken,09:00–20:00,09:00–20:00
24,"https://www.google.be/maps/place/AD+Delhaize+Leuven/@50.8752052,4.6911382,14z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d90e3a5923:0xaf4a8bb3dda7310d!8m2!3d50.8796187!4d4.6988831",Leuven,AD Delhaize Leuven,VMHX+RH Leuven,Supermarkt,"Brusselsestraat 31, 3000 Leuven","3,8",183,no expense available,no extra info available,08:30–18:30,08:30–18:30,08:30–18:30. Openingstijden gedurende de week verbergen,08:30–18:30,(Labour Day) Gesloten Afwijkende openingstijden,08:30–18:00,Gesloten
25,"https://www.google.be/maps/place/Carrefour+Express/@50.8752052,4.6911382,14z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d581beb371:0x86db3a58ec0223a1!8m2!3d50.8759935!4d4.7116077",Leuven,Carrefour Express,VPG6+9J Leuven,Kruidenier,"Burgemeestersstraat 34, 3000 Leuven","3,4",39,no expense available,no extra info available,07:30–20:00,07:30–20:00,07:30–20:00. Openingstijden gedurende de week verbergen,07:30–20:00,(Labour Day) 07:30–20:00 Openingstijden kunnen afwijken,Gesloten,08:00–20:00
