,url,search input,google maps name,id,hours in day,percentage busy,hour list,day list
0,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,day marked as closed,day marked as closed,donderdag
1,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,0,6,vrijdag
2,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,0,7,vrijdag
3,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,14,8,vrijdag
4,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,27,9,vrijdag
5,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,40,10,vrijdag
6,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,57,11,vrijdag
7,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,73,12,vrijdag
8,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,72,13,vrijdag
9,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,55,14,vrijdag
10,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,55,15,vrijdag
11,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,81,16,vrijdag
12,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,95,17,vrijdag
13,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,70,18,vrijdag
14,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,30,19,vrijdag
15,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,0,20,vrijdag
16,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,18,0,21,vrijdag
